Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Bronx,2000,005,2,043600,2334
Bronx,2000,005,2,044200,3715
Bronx,2000,005,2,044400,3937
Bronx,2000,005,2,044800,1836
Bronx,2000,005,2,044901,1973
Bronx,2000,005,2,044902,1992
Bronx,2000,005,2,045101,1800
Bronx,2000,005,2,045102,1943
Bronx,2000,005,2,045600,2883
Bronx,2000,005,2,045800,7329
Bronx,2000,005,2,046000,2693
Bronx,2000,005,2,046201,24523
Bronx,2000,005,2,046202,7289
Bronx,2000,005,2,048400,3758
Bronx,2000,005,2,050400,5
Bronx,2000,005,2,051600,4520
Brooklyn,2000,047,3,000100,5498
Brooklyn,2000,047,3,000200,1303
Brooklyn,2000,047,3,000301,5036
Brooklyn,2000,047,3,000501,3415
Brooklyn,2000,047,3,000502,2739
Brooklyn,2000,047,3,000700,3682
Brooklyn,2000,047,3,000900,2178
Brooklyn,2000,047,3,001100,117
Brooklyn,2000,047,3,001300,2533
Brooklyn,2000,047,3,001500,2726
Brooklyn,2000,047,3,001800,1442
Brooklyn,2000,047,3,002000,1574
Brooklyn,2000,047,3,002100,1134
Brooklyn,2000,047,3,002200,4240
Brooklyn,2000,047,3,002300,4314
Brooklyn,2000,047,3,002901,4300
Brooklyn,2000,047,3,003000,1873
Brooklyn,2000,047,3,003100,2870
Brooklyn,2000,047,3,003300,2348
Brooklyn,2000,047,3,003400,2894
Brooklyn,2000,047,3,003500,1477
Brooklyn,2000,047,3,003600,3940
Brooklyn,2000,047,3,003700,357
Brooklyn,2000,047,3,003800,1607
Brooklyn,2000,047,3,003900,2119
Brooklyn,2000,047,3,004100,3251
Brooklyn,2000,047,3,004300,2942
Brooklyn,2000,047,3,004400,2590
Brooklyn,2000,047,3,004500,3444
Brooklyn,2000,047,3,004600,1217
Brooklyn,2000,047,3,004700,1166
Brooklyn,2000,047,3,004900,2593
Brooklyn,2000,047,3,005000,2401
Brooklyn,2000,047,3,005100,2093
Brooklyn,2000,047,3,005201,1781
Brooklyn,2000,047,3,005202,2453
Brooklyn,2000,047,3,005300,1838
Brooklyn,2000,047,3,005400,3205
Brooklyn,2000,047,3,005601,2515
Brooklyn,2000,047,3,005602,1523
Brooklyn,2000,047,3,005800,3308
Brooklyn,2000,047,3,005900,1099
Brooklyn,2000,047,3,006000,2907
Brooklyn,2000,047,3,006200,3062
Brooklyn,2000,047,3,006300,1821
Brooklyn,2000,047,3,006400,3484
Brooklyn,2000,047,3,006500,5136
Brooklyn,2000,047,3,006600,3631
Brooklyn,2000,047,3,006700,3500
Brooklyn,2000,047,3,006800,4781
Brooklyn,2000,047,3,006900,3340
Brooklyn,2000,047,3,007000,2549
Brooklyn,2000,047,3,007100,4609
Brooklyn,2000,047,3,007200,1858
Brooklyn,2000,047,3,007400,5330
Brooklyn,2000,047,3,007500,4454
Brooklyn,2000,047,3,007600,4440
Brooklyn,2000,047,3,007700,3905
Brooklyn,2000,047,3,007800,5018
Brooklyn,2000,047,3,008000,4360
Brooklyn,2000,047,3,008200,4072
Brooklyn,2000,047,3,008400,3229
Brooklyn,2000,047,3,008500,7278
Brooklyn,2000,047,3,008600,0
Brooklyn,2000,047,3,008800,3410
Brooklyn,2000,047,3,009000,2533
Brooklyn,2000,047,3,009200,5160
Brooklyn,2000,047,3,009400,4855
Brooklyn,2000,047,3,009600,5900
Brooklyn,2000,047,3,009800,6121
Brooklyn,2000,047,3,010000,6271
Brooklyn,2000,047,3,010100,4095
Brooklyn,2000,047,3,010200,4616
Brooklyn,2000,047,3,010400,5530
Brooklyn,2000,047,3,010600,5460
Brooklyn,2000,047,3,010800,4773
Brooklyn,2000,047,3,011000,2017
Brooklyn,2000,047,3,011200,6242
Brooklyn,2000,047,3,011400,4116
Brooklyn,2000,047,3,011600,4259
Brooklyn,2000,047,3,011700,2788
Brooklyn,2000,047,3,011800,2009
Brooklyn,2000,047,3,011900,1555
Brooklyn,2000,047,3,012000,1253
Brooklyn,2000,047,3,012100,1796
Brooklyn,2000,047,3,012200,5045
Brooklyn,2000,047,3,012600,2522
Brooklyn,2000,047,3,012700,3405
Brooklyn,2000,047,3,012801,2006
Brooklyn,2000,047,3,012901,2239
Brooklyn,2000,047,3,012902,2125
Brooklyn,2000,047,3,013000,4733
Brooklyn,2000,047,3,013100,3994
Brooklyn,2000,047,3,013200,2165
Brooklyn,2000,047,3,013300,3667
Brooklyn,2000,047,3,013400,3890
Brooklyn,2000,047,3,013500,2830
Brooklyn,2000,047,3,013600,3924
Brooklyn,2000,047,3,013700,2972
Brooklyn,2000,047,3,013800,3206
Brooklyn,2000,047,3,013900,3832
Brooklyn,2000,047,3,014000,2012
Brooklyn,2000,047,3,014100,2737
Brooklyn,2000,047,3,014200,3238
Brooklyn,2000,047,3,014300,3682
Brooklyn,2000,047,3,014500,4326
Brooklyn,2000,047,3,014700,1980
Brooklyn,2000,047,3,014800,1222
Brooklyn,2000,047,3,014900,4774
Brooklyn,2000,047,3,015000,1564
Brooklyn,2000,047,3,015100,3390
Brooklyn,2000,047,3,015200,2240
Brooklyn,2000,047,3,015300,2955
Brooklyn,2000,047,3,015400,0
Brooklyn,2000,047,3,015500,3312
Brooklyn,2000,047,3,015700,4143
Brooklyn,2000,047,3,015900,5091
Brooklyn,2000,047,3,016000,4246
Brooklyn,2000,047,3,016100,2568
Brooklyn,2000,047,3,016200,1886
Brooklyn,2000,047,3,016300,3175
Brooklyn,2000,047,3,016400,1173
Brooklyn,2000,047,3,016500,4847
Brooklyn,2000,047,3,016600,2042
Brooklyn,2000,047,3,016700,4534
Brooklyn,2000,047,3,016800,1425
Brooklyn,2000,047,3,016900,4800
Brooklyn,2000,047,3,017000,2882
Brooklyn,2000,047,3,017100,3449
Brooklyn,2000,047,3,017200,2892
Brooklyn,2000,047,3,017400,1751
Brooklyn,2000,047,3,017500,28
Brooklyn,2000,047,3,017600,2239
Brooklyn,2000,047,3,017700,11
Brooklyn,2000,047,3,017800,2579
Brooklyn,2000,047,3,017900,3379
Brooklyn,2000,047,3,018000,2803
Brooklyn,2000,047,3,018100,3895
Brooklyn,2000,047,3,018200,3039
Brooklyn,2000,047,3,018300,2502
Brooklyn,2000,047,3,018400,1977
Brooklyn,2000,047,3,018501,4803
Brooklyn,2000,047,3,018600,1848
Brooklyn,2000,047,3,018700,1228
Brooklyn,2000,047,3,018800,2615
Brooklyn,2000,047,3,019000,4595
Brooklyn,2000,047,3,019100,2816
Brooklyn,2000,047,3,019200,2320
Brooklyn,2000,047,3,019300,5214
Brooklyn,2000,047,3,019400,3070
Brooklyn,2000,047,3,019500,3821
Brooklyn,2000,047,3,019600,3849
Brooklyn,2000,047,3,019700,3577
Brooklyn,2000,047,3,019800,1710
Brooklyn,2000,047,3,019900,2946
Brooklyn,2000,047,3,020000,1940
Brooklyn,2000,047,3,020100,3632
Brooklyn,2000,047,3,020200,1758
Brooklyn,2000,047,3,020300,1192
Brooklyn,2000,047,3,020400,1960
Brooklyn,2000,047,3,020500,2444
Brooklyn,2000,047,3,020600,2192
Brooklyn,2000,047,3,020700,4659
Brooklyn,2000,047,3,020800,2657
Brooklyn,2000,047,3,021000,3307
Brooklyn,2000,047,3,021100,1533
Brooklyn,2000,047,3,021200,3638
Brooklyn,2000,047,3,021300,4735
Brooklyn,2000,047,3,021400,1811
Brooklyn,2000,047,3,021500,5617
Brooklyn,2000,047,3,021600,3601
Brooklyn,2000,047,3,021700,3843
Brooklyn,2000,047,3,021800,3785
Brooklyn,2000,047,3,021900,3820
Brooklyn,2000,047,3,022000,4452
Brooklyn,2000,047,3,022100,3928
Brooklyn,2000,047,3,022200,4719
Brooklyn,2000,047,3,022400,4943
Brooklyn,2000,047,3,022600,2544
Brooklyn,2000,047,3,022700,3406
Brooklyn,2000,047,3,022800,3426
Brooklyn,2000,047,3,022900,3153
Brooklyn,2000,047,3,023000,4176
Brooklyn,2000,047,3,023100,2774
Brooklyn,2000,047,3,023200,6059
Brooklyn,2000,047,3,023300,4875
Brooklyn,2000,047,3,023400,4710
Brooklyn,2000,047,3,023500,1953
Brooklyn,2000,047,3,023600,5222
Brooklyn,2000,047,3,023800,4470
Brooklyn,2000,047,3,024000,4634
Brooklyn,2000,047,3,024100,1564
Brooklyn,2000,047,3,024200,2808
Brooklyn,2000,047,3,024300,3954
Brooklyn,2000,047,3,024400,3069
Brooklyn,2000,047,3,024500,3555
Brooklyn,2000,047,3,024600,2911
Brooklyn,2000,047,3,024700,2349
Brooklyn,2000,047,3,024800,2448
Brooklyn,2000,047,3,024900,4240
Brooklyn,2000,047,3,025000,1532
Brooklyn,2000,047,3,025100,3779
Brooklyn,2000,047,3,025200,4654
Brooklyn,2000,047,3,025300,2528
Brooklyn,2000,047,3,025400,3379
Brooklyn,2000,047,3,025500,5077
Brooklyn,2000,047,3,025600,2956
Brooklyn,2000,047,3,025700,2026
Brooklyn,2000,047,3,025800,4329
Brooklyn,2000,047,3,025901,1887
Brooklyn,2000,047,3,025902,3595
Brooklyn,2000,047,3,026000,3463
Brooklyn,2000,047,3,026100,4445
Brooklyn,2000,047,3,026200,2364
Brooklyn,2000,047,3,026300,1877
Brooklyn,2000,047,3,026400,4440
Brooklyn,2000,047,3,026500,3717
Brooklyn,2000,047,3,026600,3399
Brooklyn,2000,047,3,026700,4151
Brooklyn,2000,047,3,026800,4017
Brooklyn,2000,047,3,026900,2809
Brooklyn,2000,047,3,027000,2337
Brooklyn,2000,047,3,027100,2810
Brooklyn,2000,047,3,027200,3449
Brooklyn,2000,047,3,027300,3061
Brooklyn,2000,047,3,027400,2885
Brooklyn,2000,047,3,027500,4171
Brooklyn,2000,047,3,027600,3331
Brooklyn,2000,047,3,027700,4001
Brooklyn,2000,047,3,027800,2758
Brooklyn,2000,047,3,027900,3791
Brooklyn,2000,047,3,028000,1685
Brooklyn,2000,047,3,028100,3579
Brooklyn,2000,047,3,028200,2890
Brooklyn,2000,047,3,028300,3624
Brooklyn,2000,047,3,028400,3826
Brooklyn,2000,047,3,028501,1422
Brooklyn,2000,047,3,028502,2921
Brooklyn,2000,047,3,028600,4984
Brooklyn,2000,047,3,028700,2755
Brooklyn,2000,047,3,028800,3503
Brooklyn,2000,047,3,028900,3432
Brooklyn,2000,047,3,029000,3802
Brooklyn,2000,047,3,029100,2777
Brooklyn,2000,047,3,029200,2442
Brooklyn,2000,047,3,029300,3277
Brooklyn,2000,047,3,029400,2351
Brooklyn,2000,047,3,029500,3745
Brooklyn,2000,047,3,029600,5343
Brooklyn,2000,047,3,029700,3349
Brooklyn,2000,047,3,029800,3355
Brooklyn,2000,047,3,029900,1657
Brooklyn,2000,047,3,030000,3576
Brooklyn,2000,047,3,030100,2650
Brooklyn,2000,047,3,030200,3711
Brooklyn,2000,047,3,030300,3409
Brooklyn,2000,047,3,030400,3966
Brooklyn,2000,047,3,030500,4777
Brooklyn,2000,047,3,030600,1918
Brooklyn,2000,047,3,030700,3734
Brooklyn,2000,047,3,030800,1691
Brooklyn,2000,047,3,030900,1593
Brooklyn,2000,047,3,031100,2650
Brooklyn,2000,047,3,031300,4782
Brooklyn,2000,047,3,031400,4508
Brooklyn,2000,047,3,031500,5371
Brooklyn,2000,047,3,031701,3673
Brooklyn,2000,047,3,031702,3579
Brooklyn,2000,047,3,031900,3850
Brooklyn,2000,047,3,032100,5612
Brooklyn,2000,047,3,032300,3763
Brooklyn,2000,047,3,032500,6641
Brooklyn,2000,047,3,032600,7247
Brooklyn,2000,047,3,032700,3868
Brooklyn,2000,047,3,032800,3304
Brooklyn,2000,047,3,032900,5856
Brooklyn,2000,047,3,033000,5288
Brooklyn,2000,047,3,033100,4725
Brooklyn,2000,047,3,033300,4491
Brooklyn,2000,047,3,033500,3120
Brooklyn,2000,047,3,033600,5159
Brooklyn,2000,047,3,033700,4541
Brooklyn,2000,047,3,033900,4541
Brooklyn,2000,047,3,034000,2511
Brooklyn,2000,047,3,034100,2779
Brooklyn,2000,047,3,034200,7462
Brooklyn,2000,047,3,034300,5434
Brooklyn,2000,047,3,034500,2529
Brooklyn,2000,047,3,034700,3140
Brooklyn,2000,047,3,034800,2029
Brooklyn,2000,047,3,034900,5572
Brooklyn,2000,047,3,035000,3584
Brooklyn,2000,047,3,035100,5052
Brooklyn,2000,047,3,035200,1267
Brooklyn,2000,047,3,035300,5558
Brooklyn,2000,047,3,035400,5622
Brooklyn,2000,047,3,035500,5433
Brooklyn,2000,047,3,035601,2931
Brooklyn,2000,047,3,035602,5233
Brooklyn,2000,047,3,035700,2295
Brooklyn,2000,047,3,035900,5257
Brooklyn,2000,047,3,036001,3475
Brooklyn,2000,047,3,036002,4230
Brooklyn,2000,047,3,036100,2533
Brooklyn,2000,047,3,036200,5084
Brooklyn,2000,047,3,036300,3664
Brooklyn,2000,047,3,036400,2641
Brooklyn,2000,047,3,036501,2349
Brooklyn,2000,047,3,036502,996
Brooklyn,2000,047,3,036600,4449
Brooklyn,2000,047,3,036700,1373
Brooklyn,2000,047,3,036900,4912
Brooklyn,2000,047,3,037000,4062
Brooklyn,2000,047,3,037100,3982
Brooklyn,2000,047,3,037300,4199
Brooklyn,2000,047,3,037401,4384
Brooklyn,2000,047,3,037402,4827
Brooklyn,2000,047,3,037500,2831
Brooklyn,2000,047,3,037700,3827
Brooklyn,2000,047,3,037900,2827
Brooklyn,2000,047,3,038100,4849
Brooklyn,2000,047,3,038200,6161
Brooklyn,2000,047,3,038300,3999
Brooklyn,2000,047,3,038500,3628
Brooklyn,2000,047,3,038600,3377
Brooklyn,2000,047,3,038700,3581
Brooklyn,2000,047,3,038800,3804
Brooklyn,2000,047,3,038900,2287
Brooklyn,2000,047,3,039000,2192
Brooklyn,2000,047,3,039100,1467
Brooklyn,2000,047,3,039200,2789
Brooklyn,2000,047,3,039300,2800
Brooklyn,2000,047,3,039400,2526
Brooklyn,2000,047,3,039500,3636
Brooklyn,2000,047,3,039600,2030
Brooklyn,2000,047,3,039700,3237
Brooklyn,2000,047,3,039800,2391
Brooklyn,2000,047,3,039900,3777
Brooklyn,2000,047,3,040000,2948
Brooklyn,2000,047,3,040100,3157
Brooklyn,2000,047,3,040200,2564
Brooklyn,2000,047,3,040300,2981
Brooklyn,2000,047,3,040400,2109
Brooklyn,2000,047,3,040500,1335
Brooklyn,2000,047,3,040600,3089
Brooklyn,2000,047,3,040700,0
Brooklyn,2000,047,3,040800,2921
Brooklyn,2000,047,3,040900,3507
Brooklyn,2000,047,3,041000,1749
Brooklyn,2000,047,3,041100,2837
Brooklyn,2000,047,3,041200,2708
Brooklyn,2000,047,3,041300,3249
Brooklyn,2000,047,3,041401,1390
Brooklyn,2000,047,3,041402,1918
Brooklyn,2000,047,3,041500,3638
Brooklyn,2000,047,3,041600,2483
Brooklyn,2000,047,3,041700,3197
Brooklyn,2000,047,3,041800,2527
Brooklyn,2000,047,3,041900,3908
Brooklyn,2000,047,3,042000,2256
Brooklyn,2000,047,3,042100,3481
Brooklyn,2000,047,3,042200,3674
Brooklyn,2000,047,3,042300,2634
Brooklyn,2000,047,3,042400,3692
Brooklyn,2000,047,3,042500,2260
Brooklyn,2000,047,3,042600,3823
Brooklyn,2000,047,3,042700,5599
Brooklyn,2000,047,3,042800,3655
Brooklyn,2000,047,3,042900,5829
Brooklyn,2000,047,3,043000,3291
Brooklyn,2000,047,3,043100,5276
Brooklyn,2000,047,3,043200,3860
Brooklyn,2000,047,3,043300,3668
Brooklyn,2000,047,3,043400,3529
Brooklyn,2000,047,3,043500,4494
Brooklyn,2000,047,3,043600,4020
Brooklyn,2000,047,3,043700,5027
Brooklyn,2000,047,3,043800,2674
Brooklyn,2000,047,3,043900,3778
Brooklyn,2000,047,3,044000,2726
Brooklyn,2000,047,3,044100,5630
Brooklyn,2000,047,3,044200,2739
Brooklyn,2000,047,3,044300,5210
Brooklyn,2000,047,3,044400,3201
Brooklyn,2000,047,3,044500,4576
Brooklyn,2000,047,3,044600,1819
Brooklyn,2000,047,3,044700,1883
Brooklyn,2000,047,3,044800,2061
Brooklyn,2000,047,3,044900,3100
Brooklyn,2000,047,3,045000,738
Brooklyn,2000,047,3,045200,2817
Brooklyn,2000,047,3,045300,1616
